,0,0
10,"

Thanks to demand from the start-up of major refineries, Chinese crude oil imports in June have increased since May, and has increased by 15.2 percent from June last year, customs data compiled by Reuters showed on Friday.China’s crude oil imports in June averaged 9.63 million bpd, an increase of 1.7 percent from an average of 9.47 million bpd in imports in May, and a 15.2-percent increase from 8.36 million bpd in June last year, according to Reuters calculations in barrels from data in tons provided by the Chinese General Administration of Customs.Despite weaker refining margins and a glut of refined oil products, demand for crude in China increased last month thanks to Hengli Petrochemical, which had a new refinery start up earlier this year and ramped up to full 400,000-bpd capacity at the end of May. Another 400,000-bpd refinery, of Zhejiang Petrochemical, began trial runs, further pushing demand for crude.



China’s June crude oil imports increased from May, but were off their record in April, when China hit a new monthly record of 10.64 million bpd in crude imports as refiners rushed to stock up on Iranian oil before the U.S. removed the sanction waivers.Then, China’s crude oil imports dropped in May from the monthly record in April, as Chinese refiners drastically reduced Iranian oil imports after the end of the U.S. waivers and as some state refineries were offline for planned maintenance.According to Chinese customs data and Reuters estimates, crude oil imports in the first half of 2019 averaged around 9.87 million bpd, which is an 8.8-percent increase in import volumes compared to the first half of 2018.  



However, China’s crude oil demand, and possibly imports, could be dragged down in the short term by signs of wobbling economy and refiners curtailing refinery runs in the third quarter as massive refinery start-ups and slowing domestic fuel demand have created a fuel glut in the country, hurting refining margins. By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:Middle East Tanker Insurance Rates Soar 10-FoldWhy This Oil Rally Won’t LastOil & Gas Discoveries Rise In High-Risk Oil Frontiers


",
11,"

The shareholders of Anadarko Petroleum will vote on the company’s takeover by Occidental on August 8, Reuters reports, adding that Occidental avoided a shareholder vote on the deal by securing US$10 billion in funding for the deal from Warren Buffett.Occidental beat Chevron to Anadarko after it offered US$38 billion for the company, 80 percent of it in cash, in addition to the assumption of Anadarko’s debt. Initially, Oxy offered 50 percent of the US$57-billion debt-including price in cash and the rest in stock, but Anadarko was reluctant to accept this bid. Oxy then upped the cash portion of the deal to 80 percent and won the approval of Anadarko’s board. 



Some of its own shareholders, however, were not particularly happy about the news. Activist investor Carl Icahn was among the most vocal ones and he launched an offensive against the company in a bid to ensure no more deals of this size are possible. The offensive envisages the replacement of four board members and the amendment of Oxy’s charter.Related: 1 Million Bpd At Risk In Gulf Of Mexico Tropical Storm“It is important to add new directors to Occidental’s Board of Directors to oversee future extraordinary transactions like the Anadarko transaction and to ensure that they are not consummated without stockholder approval when appropriate,” Icahn told fellow shareholders in June.



Anadarko has almost 250,000 net acres in the Permian, the U.S. star shale play, and the tie-up will cement Occidental’s place as the leader in the region that is driving the so-called second shale revolution.Oxy offered Anadarko shareholders some US$73.46 per share, which represented a 57-percent premium to the stocks’ closing price on April 11, which was the day before Anadarko announced it had reached a takeover agreement with Chevron. Oxy launched its bid for Anadarko almost immediately after that announcement. Chevron, meanwhile, walked away US$1 billion richer from the breakup fee Anadarko owed it for such a case and with a higher share price as traders apparently appreciated the fact that it won’t be spending almost US$50 billion on an acquisition.By Irina Slav for Oilprice.comMore Top Reads From Oilprice.com:Oil Jumps On Hefty Crude DrawA Red Flag For Oil? China’s Crude Consumption Is FalteringGeopolitical Tensions Put A Floor Under Oil Prices


",
12,"

Despite President Donald Trump’s insistence that countries should take responsibility for protecting its own oil tankers through the risky Persian Gulf after two tankers were attacked off the coast of Oman and after Wednesday’s incident where Iranian guard boards harassed a British tanker as it went through the Strait of Hormuz.The Iranian Revolutionary Guards denied involvement in the hostilities.US General Mark Milley said in a Senate hearing on Thursday that the US was crucial to ensuring that shipping lanes through the Gulf remained passable, adding that the US was indeed attempting to assemble a coalition to provide military naval escorts for commercial ships running through dangerous waters.



As for the timetable, Milley added that the plan would be developed within a couple of weeks.President Trump had said at the end of June, following the first round of attacks on two oil tankers, that the United States would not protect shipping routes through the Strait of Hormuz for free.“China gets 91% of its Oil from the Straight, Japan 62%, & many other countries likewise. So why are we protecting the shipping lanes for other countries (many years) for zero compensation,” President Trump said in a June tweet.



“All of these countries should be protecting their own ships on what has always been a dangerous journey. We don’t even need to be there in that the U.S. has just become (by far) the largest producer of Energy anywhere in the world! The U.S. request for Iran is very simple - No Nuclear Weapons and No Further Sponsoring of Terror!”Today’s new comments indicates that Washington’s stance may have softened from the hard line President Trump took last month over the responsibility of the United States to ensure safe passage through the world’s most critical oil chokepoint. By Julianne Geiger for Oilprice.comMore Top Reads From Oilprice.com:OPEC: Oil & Gas Are Part Of Solution To Climate ChangeOil Prices Edge Up Ahead Of Crude Inventory ReportsMusk: The Price Of A Tesla Could Skyrocket


",
13,"

Two consumer groups opposed to fossil fuels are calling on California’s Governor Gavin Newsom to fire supervisors at the state agency regulating oil drilling permits over a conflict of interest, after the consumer alliances found records showing that several regulators held shares in oil giants such as Exxon, Chevron, Valero, ConocoPhillips, Shell, and BP, The Desert Sun reports.The groups Consumer Watchdog and FracTracker Alliance found through requests for public records that seven regulators employed by California’s Department of Conservation’s Division of Oil, Gas and Geothermal Resources (DOGGR) responsible for issuing drilling permits had personal investments in oil and gas companies, whose permits they are essentially regulating.Consumer Watchdog and FracTracker Alliance asked Governor Newsom to fire those public servants for conflict of interests and to suspend the issuance of new drilling permits.



“We have uncovered outrageous conflicts of interest at the state agency charged with oil and gas well approval and inspections that endanger the public. Oil regulators should not be invested in the same oil companies that they regulate,” Consumer Watchdog president Jamie Court and the organization’s senior consumer advocate Adam Scow, as well as FracTracker Alliance’s executive director Brook Lenker, wrote, as carried by The Desert Sun.A spokesman for the Newsom office told The Desert Sun that the governor’s office is aware of the allegations and is taking them seriously.“If a public employee is found to have unethically profited from investments in an industry he or she regulates, that’s unacceptable,” the governor’s office spokesman Brian Ferguson told The Desert Sun.  



One of the seven officials who had disclosed investments in oil firms responded to the outlet’s request for comment. The state agency’s deputy director of programs, David Gutierrez, told The Desert Sun that when he was hired less than two years ago, he told DOGGR officials that he held shares in Exxon and Magellan Midstream Partners and asked if he should divest those shares. Gutierrez was told he needn’t divest because California doesn’t regulate those two companies. After the two consumer groups requested information from the agency about the public records in late April, Gutierrez immediately sold the stocks and consulted the legal and ethics offices who told him “don’t worry about it,” the official told The Desert Sun. By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:Iran Tries To Seize British Oil TankerIs Shell's Latest Blockchain Venture A Gamechanger?OPEC: This Is Where Most New Oil Will Come From In 2020


",
14,"

Phillips 66 will be temporarily closing down its 253,600-bpd Alliance, Louisiana, refinery ahead of possible flooding from a tropical storm in the Gulf of Mexico which is expected to become a hurricane on Friday and which has already shut in 32 percent of the U.S. Gulf of Mexico’s oil production.Phillips 66 said on Thursday that it planned to complete the closing of the refinery in the morning, following mandatory evacuation orders from local authorities, Reuters reports.



According to the National Weather Service forecast as of 11:08 a.m. EDT on Thursday, the tropical storm Barry may strengthen to a hurricane on Friday evening.The closing down of the refinery comes after oil producers in the U.S. Gulf of Mexico started earlier this week evacuating employees from their platforms ahead of the storm. Chevron is evacuating all the staff from five platforms and shutting them down ahead of the storm, and also evacuating some non-essential personnel from a sixth platform. Shell is evacuating four platforms—Appomattox, Mars, Olympus and Ursa—and has reduced production from the Mars and Olympus platforms by more than 2,500 bpd. BP is evacuating staff from four platforms that collectively produce over 300,000 bpd of oil and gas. BHP, for its part, is reducing production at two platforms, with the evacuation of staff from Neptune and Shenzi expected to wrap up by this afternoon.



Based on operator reports, the Bureau of Safety and Environmental Enforcement (BSEE) estimated that as of July 10, 31.89 percent of the current oil production in the Gulf of Mexico had been shut-in, which is equal to 602,715 bpd. BSEE also estimated that some 17.85 percent of the natural gas production, or 496.2 million cubic feet per day in the Gulf of Mexico, has been shut-in ahead of the storm.Collectively, a total of 1 million bpd of oil production could be at risk due to the storm, according to analysts. By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:Is Shell's Latest Blockchain Venture A Gamechanger?OPEC: This Is Where Most New Oil Will Come From In 2020Iran Tries To Seize British Oil Tanker


",
15,"

China State Construction Engineering Corporation is looking for opportunities in Iraq’s oil industry and believes it could sign at least one contract per year for oil infrastructure in Iraq, Yu Tao, the head of the Middle Eastern division of the Chinese construction giant, told Reuters on Thursday.“We are paying more attention to the oilfields because that is the core business of Iraq,” Yu said.The Chinese state construction firm is interested in oil pipeline projects in Iraq, according to the official.



More oil pipelines in Iraq and out of Iraq could help the country secure some alternative export routes for its crude oil because currently, most of its oil exports have to pass through the Strait of Hormuz, the most important oil chokepoint in the world with daily oil flows averaging 21 million bpd, or the equivalent of about 21 percent of global petroleum liquids consumption.Currently, the operating pipelines that bypass the Strait of Hormuz are just three—two in Saudi Arabia and one in the UAE—with combined capacity at 6.8 million bpd, not nearly enough to compensate for a disruption of supplies through the Strait of Hormuz should tensions in the Middle East further escalate.For Iraq, the Persian Gulf and then the Strait of Hormuz, which Iran has repeatedly threatened to block, are the key export routes of more than 3 million bpd of Iraqi crude oil from its southern ports lying on the Persian Gulf.



Cutting off Iraq’s crude oil exports would be disastrous for the country, which relies very much on oil revenues for its budget income, so the Persian Gulf and the Strait of Hormuz are the lifelines of Iraqi state revenues, industry analyst Ruba Husari told AFP in June.Earlier this week, as tensions continue to flare up in the Middle East, Iraq’s Prime Minister Adel Abdul Mahdi warned that any disruption in the oil exports flowing through the Strait of Hormuz would be a “major obstacle” for Iraq’s economy.  By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:Oil & Gas Discoveries Rise In High-Risk Oil FrontiersOPEC: This Is Where Most New Oil Will Come From In 2020Iran Tries To Seize British Oil Tanker


",
16,"

OPEC’s oil production dropped by another 68,000 bpd to 29.83 million bpd in June, as output from Iran and Libya—exempt from the production cut pact—and other members offset large increases in Saudi Arabia and Nigeria.According to secondary sources in OPEC’s closely watched Monthly Oil Market Report published on Thursday, the cartel’s output hit a new low in recent years and was at the lowest in five years in June, just ahead of OPEC and its allies rolling over the production cuts into March 2020.OPEC’s official figures are very close to last week’s Reuters survey, which showed that OPEC pumped 29.60 million bpd in June, the lowest monthly output since April 2014.



Last month, the largest drop in production was registered in Iran, whose crude oil production fell by 142,000 bpd to 2.225 million bpd, due to the U.S. sanctions on its industry. Iran’s production is now more than a million barrels per day down from its 2018 average of 3.553 million bpd, according to OPEC’s secondary sources, which the cartel uses as a benchmark to report production and compliance with the deal.Iran has stopped supplying directly reported figures to OPEC regarding its production.Production in Libya and Angola also fell significantly last month, by 58,000 bpd and 57,000 bpd from May, respectively. Venezuela booked another decline, by 16,000 bpd, bringing its crude oil production to just 734,000 bpd in June.Related: Pennsylvania Willing To Let Shuttered Oil Refinery Die



Among OPEC’s members who boosted production, Nigeria led the increases with 129,000 bpd in June over May, while the largest producer Saudi Arabia raised its crude oil production by 126,000 bpd to 9.813 million bpd, still cutting more than its quota of 10.311 million bpd under the pact.In July and August, Saudi Arabia is determined to keep its oil production below 10 million bpd and average monthly exports at below 7 million bpd, to “avoid excess stock building, particularly in oversupplied markets,” a Saudi source told Argus on Thursday.Based on OPEC’s oil market outlook for 2020 in this month’s report, the cartel expects demand for its crude next year to be lower than its current production and to average 29.3 million bpd, down by around 1.3 million bpd from 2019. By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:Virgin Galactic Looks To Go Public In $800 Million DealOPEC Plans Move To Seize Market Share From US ShaleThe Biggest Oil & Gas Winners In Q2 2019


",
17,"

The Pennsylvania government will not finance the recovery of the largest refinery on the U.S. East Coast, which suffered a devastating string of explosions late last month.“The administration does not plan expending any funding to maintain the site as a refinery,” the Pennsylvania Governor’s spokesman said in a statement quoted by Reuters.Philadelphia Energy Solutions’ refinery complex has a total refining capacity of 335,000 bpd and is the largest such complex on the U.S. Eastern seaboard, according to PES’s website. The explosions rocked the facility an early morning on June 20th.



It was  the second fire in a month at the same refinery complex. On June 10, a fire broke out at the Philadelphia Energy Solutions Refining Complex, affecting the facility’s 50,000-bpd catalytic cracking unit.At the time of the second fire, deputy fire commissioner Craig Murphy, a vat of butane ignited and eventually exploded, according to a report by NBC Philadelphia. The fire spread through the pipes in the complex, causing a series of smaller explosions. However, the cause has not yet been established categorically and the investigation is ongoing. It could take several months to finalize.Justifying the Governor’s decision to not spend money on repairing the facility, spokesman J.J. Abbott said, “In addition to the damage to the facility, there are outstanding questions about safety and contamination. Furthermore, the facility faces competitive challenges against more modern refineries that would be extremely costly and difficult to overcome.”



That’s a marked departure from the last time the PES refinery was threatened by a shutdown, less than a decade ago. At the time, Reuters recalls, both city and state politicians agreed to provide support for the refinery and keep it running. Now, employees blame the Governor for letting the refinery shut down, which, they say, would cost not just the loss of jobs but also tax revenues.Irina Slav for Oilprice.comMore Top Reads From Oilprice.com:The World’s First Trillion Dollar Oil Company Has A Big ProblemA Red Flag For Oil? China’s Crude Consumption Is FalteringWTI Spikes Above $60 For First Time In Nearly Two Months


",
18,"

Iran will offer oil futures to interested foreign parties at pre-determined rates, the Tehran Times reported on Wednesday, citing Iranian VP Es’haq Jahangiri, despite US sanctions that have restricted oil exports in the OPEC-member country.The United States told all Iranian crude oil buyers that they had to wrap up crude oil purchases by November 2018, but it later granted eight countries waivers to the sanctions. Still, Iran has been defiant regarding the sanctions, and has continued to ship crude oil to several countries including China.The call to foreign buyers sent a clear message that Iran is not yet ready to sit idle while the US strives to bring iran’s oil exports to zero. “Any powerful country that wishes to work with Iran can pre-order Iran’s oil for the next two to three years,” Jahangiri said.



Iran has also tried its hand at selling its crude oil on the country’s stock exchange, the IRENEX.“Offering oil and gas condensate in the international ring of IRENEX has become a legal obligation, and it will definitely be a lasting move,” Amir Hossein Tebyanian, representative for the National Iranian Oil Company told the Tehran Times earlier this week.Iran has had limited success at finding buyers for its crude on this exchange, leaving Iran in a lurch coming off of its pre-sanctions $100+ billion in annual revenues from its crude oil sales.



Iran promised reliability to any foreign buyers of its crude, stating that it had maintained its oil production at 3 million to 4 million bpd despite the sanctions. According to OPEC’s most recent Monthly Oil Market Report, however, Iran’s average crude oil production in May was 2.37 million bpd according to secondary sources. Iran has not provided directly communicated oil production figures to OPEC since some time in 2018.By Julianne Geiger for Oilprice.comMore Top Reads From Oilprice.com:Here’s Putin’s Answer To The U.S. Shale BoomTwo Factors That Point To A Bearish 2020 For OilGoldman Sachs: Shale Boom Caps Real Oil Price Gains Until 2020


",
19,"

Russia’s second-largest oil producer, Lukoil, has fully restored the volume of its oil supplies to customers after a major contamination on the Druzhba oil pipeline disrupted Russian crude supply to the west for weeks in the spring.  Lukoil redistributed its supplies through other export channels, including ports, “which made it possible to avoid negative consequences in executing export contracts,” Lukoil’s First Vice President, Vadim Vorobyov, told Russian news agency TASS on Wednesday.At the end of April, Russia halted supplies via the Druzhba oil pipeline to several European countries due to a contamination issue, which the Russians said was deliberate.    



The oil was contaminated with organic chlorine, a substance used in oil production to boost output but dangerous in high amounts for refining equipment. The amounts of the chemical were found to be at levels much higher than the maximum allowable amount.“On the part of Lukoil’s permanent western partners — oil buyers on the southern branch of Druzhba and those from Belarus — there are currently no complaints about quality inconsistency of the supplied oil with the agreed parameters,” the manager told TASS today.  Last Friday, just days after Russia had said it had fully resumed oil flows to Europe via the Druzhba pipeline, a Shell oil refinery in Schwedt,  Germany, halted imports via the pipeline because, again, slightly higher concentration of organic chlorine was found in the crude, a Shell spokesman told German business daily Handelsblatt.



On Tuesday, a Shell spokeswoman told German media that flows from the Druzhba pipeline to the PCK refinery in Schwedt resumed on Saturday after a one-day halt on Friday. The refinery is back to normal operations, the spokeswoman said, without commenting on the matter further.Also on Tuesday, an executive at Polish pipeline operator PERN said that flows via the Druzhba pipeline could be suspended again because of higher than normal levels of organic chlorine.“I would really like it not to be the case, but... there will always be remaining oil which could have higher chloride content,” Reuters quoted PERN’s chief executive Igor Wasilewski as saying yesterday.  By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:Here’s Putin’s Answer To The U.S. Shale BoomA Red Flag For Oil? China’s Crude Consumption Is FalteringIncreasingly Weak Demand Outlook Caps Oil Prices


",
20,"

Despite the ongoing rush to build oil pipelines to carry crude from the Permian to the Gulf Coast and an overbuild in the short-term, the fastest-growing U.S. shale play will need additional pipeline capacity up to 500,000 bpd by the end of 2030 to ship soaring crude output to markets, Wood Mackenzie said in new research this week.Midstream operators are set to add 4 million bpd of Permian-to-Gulf Coast pipeline capacity by the end of 2022, creating a moderate overbuild in takeaway capacity in the early 2020s, according to the energy consultancy.  However, WoodMac believes that even after the current build-out is completed, the Permian will still need at least 300,000-500,000 bpd of crude takeaway capacity in the long-term, by 2030, and cited three reasons for its forecast.



First, WoodMac expects resilient Permian basin oil production to continue into the 2030s. Next, between 2021 and the middle of the 2030s, pipeline capacity will fill up on routes to export destinations. And third, the long-haul capacity out of the Permian will need a slight boost in the early 2030s, according to Wood Mackenzie.Currently, “The rapid addition of pipeline capacity will result in two to three years of overbuild, before normal long-haul capacity supply and demand conditions begin to re-emerge,” the consultancy said.“As production growth expands well into the 2030s, US Gulf Coast-bound pipeline capacity will tighten. By the mid-2030s, Permian-to-Gulf Coast pipeline utilisation will surpass 92% in the absence of further investment, necessitating pipeline expansions or greenfield capacity,” said John Coleman, principal analyst, North America crude markets at WoodMac.



Production outpaced pipeline takeaway capacity in the Permian in early 2018, which weighed heavily on the Midland oil prices compared to other U.S. benchmarks. Companies are currently rushing to complete and place into service more pipelines to relieve the bottlenecks, and some are converting pipelines from shipping natural gas liquids (NGL) to crude oil to further ease the takeaway capacity congestion.  By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:Oil Jumps On Hefty Crude DrawRussia’s Oil Production Drops To Nearly Three-Year LowVirgin Galactic Looks To Go Public In $800 Million Deal


",
